authors,category/genre,description,id_book,image_url,isbn,language,num_pages,published_date,publisher,reviews,sub_category,title,ratings_count,reviews_count,text_reviews_count,average_rating
['Bernhard Schlink'],Fiction,"Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany. When he falls ill on his way home from school, fifteen-year-old Michael Berg is rescued by Hanna, a woman twice his age. In time she becomes his lover—then she inexplicably disappears. When Michael next sees her, he is a young law student, and she is on trial for a hideous crime. As he watches her refuse to defend her innocence, Michael gradually realizes that Hanna may be guarding a secret she considers more shameful than murder.",2JYJicwT84cC,http://books.google.com/books/content?id=2JYJicwT84cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0375726977,en,208, ,Vintage,"{'ratings_count': 164009, 'reviews_count': 251089, 'text_reviews_count': 9853, 'average_rating': '3.75', 'rating_dist': {'5-stars': '38847', '4-stars': '64743', '3-stars': '44969', '2-stars': '12160', '1-star': '3290'}}",fiction,The Reader,164009,251089,9853,3.75
['J. Ryan Stradal'],Fiction,"""[The Lager Queen of Minnesota has] complex female characters, sudden tragedies, culinary descriptions that awaken all your senses."" --Entertainment Weekly A novel of family, Midwestern values, hard work, fate and the secrets of making a world-class beer, from the bestselling author of Kitchens of the Great Midwest Two sisters, one farm. A family is split when their father leaves their shared inheritance entirely to Helen, his younger daughter. Despite baking award-winning pies at the local nursing home, her older sister, Edith, struggles to make what most people would call a living. So she can't help wondering what her life would have been like with even a portion of the farm money her sister kept for herself. With the proceeds from the farm, Helen builds one of the most successful light breweries in the country, and makes their company motto ubiquitous: ""Drink lots. It's Blotz."" Where Edith has a heart as big as Minnesota, Helen's is as rigid as a steel keg. Yet one day, Helen will find she needs some help herself, and she could find a potential savior close to home. . . if it's not too late. Meanwhile, Edith's granddaughter, Diana, grows up knowing that the real world requires a tougher constitution than her grandmother possesses. She earns a shot at learning the IPA business from the ground up--will that change their fortunes forever, and perhaps reunite her splintered family? Here we meet a cast of lovable, funny, quintessentially American characters eager to make their mark in a world that's often stacked against them. In this deeply affecting family saga, resolution can take generations, but when it finally comes, we're surprised, moved, and delighted.",wOV8DwAAQBAJ,http://books.google.com/books/content?id=wOV8DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780399563072,en,, ,Penguin,"{'ratings_count': 13575, 'reviews_count': 39217, 'text_reviews_count': 2490, 'average_rating': '4.06', 'rating_dist': {'5-stars': '4285', '4-stars': '6361', '3-stars': '2477', '2-stars': '375', '1-star': '77'}}",fiction,The Lager Queen of Minnesota,13575,39217,2490,4.06
['Ajay K Pandey'],Fiction,"His father's over expectations only ruined his self-confidence further with each failure. A ray of hope walked into his life as his wife, a charismatic personality spreading joy wherever she went. Everything is going per plan, but darkness comes knocking soon. He finds out that she does not have much time to live and takes it upon himself to fight all odds – even his family, if need be – to help her fight her medical condition. His father sees his own redemption in helping them; he knows his son will be a winner only if he will fight for her, with her. Will a defeated son prove himself to be a good husband? Will the father-son duo together be able to change the course of fate? Her Last Wish is an inspiring story of love, relationships and sacrifice, which proves once again how a good wife makes the best husband.",xNzWDQAAQBAJ,http://books.google.com/books/content?id=xNzWDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9789382665878,en,208, ,Sristhi Publishers & Distributors,"{'ratings_count': 1362, 'reviews_count': 4081, 'text_reviews_count': 140, 'average_rating': '4.18', 'rating_dist': {'5-stars': '660', '4-stars': '426', '3-stars': '175', '2-stars': '65', '1-star': '36'}}",download,Her Last Wish,1362,4081,140,4.18
['Amanda Eyre Ward'],Fiction,"Reese’s Book Club x Hello Sunshine Book Pick • New York Times Book Review Editors’ Choice “Dysfunctional family goes away together on a Mediterranean cruise: What’s not to love? This novel fell squarely in my wheelhouse and I was delighted anew in every port. The Jetsetters is fun, sexy, and engrossing.”—#1 New York Times bestselling author Elin Hilderbrand When seventy-year-old Charlotte Perkins submits a sexy essay to the Become a Jetsetter contest, she dreams of reuniting her estranged children: Lee, an almost-famous actress; Cord, a handsome Manhattan venture capitalist who can’t seem to find a partner; and Regan, a harried mother who took it all wrong when Charlotte bought her a Weight Watchers gift certificate for her birthday. Charlotte yearns for the years when her children were young, when she was a single mother who meant everything to them. When she wins the contest, the family packs their baggage—both literal and figurative—and spends ten days traveling from sun-drenched Athens through glorious Rome to tapas-laden Barcelona on an over-the-top cruise ship, the Splendido Marveloso. As lovers new and old join the adventure, long-buried secrets are revealed and old wounds are reopened, forcing the Perkins family to confront the forces that drove them apart and the defining choices of their lives. Can four lost adults find the peace they’ve been seeking by reconciling their childhood aches and coming back together? In the vein of The Nest and The Vacationers, The Jetsetters is a delicious and intelligent novel about the courage it takes to reveal our true selves, the pleasures and perils of family, and how we navigate the seas of adulthood.",79iXDwAAQBAJ,http://books.google.com/books/content?id=79iXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780399181900,en,, ,Ballantine Books,"{'ratings_count': 2327, 'reviews_count': 24699, 'text_reviews_count': 347, 'average_rating': '3.33', 'rating_dist': {'5-stars': '267', '4-stars': '680', '3-stars': '996', '2-stars': '318', '1-star': '66'}}",fiction,The Jetsetters,2327,24699,347,3.33
['Margaret Atwood'],Fiction,"From the #1 New York Times bestselling author of The Handmaid's Tale Cat’s Eye is the story of Elaine Risley, a controversial painter who returns to Toronto, the city of her youth, for a retrospective of her art. Engulfed by vivid images of the past, she reminisces about a trio of girls who initiated her into the the fierce politics of childhood and its secret world of friendship, longing, and betrayal. Elaine must come to terms with her own identity as a daughter, a lover, an artist, and a woman—but above all she must seek release form her haunting memories. Disturbing, humorous, and compassionate—and a finalist for the Booker Prize—Cat’s Eye is a breathtaking novel of a woman grappling with the tangled knot of her life.",gXrBYqAYixcC,http://books.google.com/books/content?id=gXrBYqAYixcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0307797961,en,480, ,Anchor,"{'ratings_count': 54245, 'reviews_count': 110975, 'text_reviews_count': 3210, 'average_rating': '3.94', 'rating_dist': {'5-stars': '16551', '4-stars': '21791', '3-stars': '12560', '2-stars': '2605', '1-star': '738'}}",fiction,Cat's Eye,54245,110975,3210,3.94
['Octavia E. Butler'],Fiction,"The Nebula Award–winning author of Kindred presents a “gripping” dystopian novel about a woman fleeing Los Angeles as America spirals into chaos (The New York Times Book Review). Lauren Olamina and her family live in one of the only safe neighborhoods remaining on the outskirts of Los Angeles. Behind the walls of their defended enclave, Lauren’s father, a preacher, and a handful of other citizens try to salvage what remains of a culture that has been destroyed by drugs, war, and chronic shortages of water, gasoline, and more. While her father tries to lead people on the righteous path, Lauren struggles with hyperempathy, a condition that makes her extraordinarily sensitive to the pain of others. When fire destroys their compound, Lauren’s family is killed and she is forced out into a world that is facing apocalypse. With a handful of other refugees, Lauren must make her way north to safety, along the way conceiving a revolutionary idea that may mean salvation for all mankind. From a recipient of the MacArthur Fellowship who has won multiple Nebula and Hugo Awards, this iconic novel is “a gripping tale of survival and a poignant account of growing up sane in a disintegrating world” (The New York Times Book Review). This ebook features an illustrated biography of Octavia E. Butler including rare images from the author’s estate.",8thMLkahggcC,http://books.google.com/books/content?id=8thMLkahggcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781453263617,en,299, ,Open Road Media,"{'ratings_count': 50699, 'reviews_count': 148552, 'text_reviews_count': 5061, 'average_rating': '4.16', 'rating_dist': {'5-stars': '21423', '4-stars': '19024', '3-stars': '7990', '2-stars': '1713', '1-star': '549'}}",fiction,Parable of the Sower,50699,148552,5061,4.16
['Stephen King'],Fiction,"Now an HBO limited series starring Ben Mendelsohn!​ Evil has many faces…maybe even yours in this #1 New York Times bestseller from master storyteller Stephen King. An eleven-year-old boy’s violated corpse is discovered in a town park. Eyewitnesses and fingerprints point unmistakably to one of Flint City’s most popular citizens—Terry Maitland, Little League coach, English teacher, husband, and father of two girls. Detective Ralph Anderson, whose son Maitland once coached, orders a quick and very public arrest. Maitland has an alibi, but Anderson and the district attorney soon have DNA evidence to go with the fingerprints and witnesses. Their case seems ironclad. As the investigation expands and horrifying details begin to emerge, King’s story kicks into high gear, generating strong tension and almost unbearable suspense. Terry Maitland seems like a nice guy, but is he wearing another face? When the answer comes, it will shock you as only Stephen King can.",_XdEDwAAQBAJ,http://books.google.com/books/content?id=_XdEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781501181016,en,576, ,Simon and Schuster,"{'ratings_count': 147433, 'reviews_count': 440936, 'text_reviews_count': 15242, 'average_rating': '4.00', 'rating_dist': {'5-stars': '47441', '4-stars': '63219', '3-stars': '28603', '2-stars': '6167', '1-star': '2003'}}",horror,The Outsider,147433,440936,15242,4.00
['Alan Brennert'],Fiction,"Young Rachel Kalama, growing up in idyllic Honolulu in the 1890s, is part of a big, loving Hawaiian family, and dreams of seeing the far-off lands that her father, a merchant seaman, often visits. But at the age of seven, Rachel and her dreams are shattered by the discovery that she has leprosy. Forcibly removed from her family, she is sent to Kalaupapa, the isolated leper colony on the island of Moloka'i. In her exile she finds a family of friends to replace the family she's lost: a native healer, Haleola, who becomes her adopted ""auntie"" and makes Rachel aware of the rich culture and mythology of her people; Sister Mary Catherine Voorhies, one of the Franciscan sisters who care for young girls at Kalaupapa; and the beautiful, worldly Leilani, who harbors a surprising secret. At Kalaupapa she also meets the man she will one day marry. True to historical accounts, Moloka'i is the story of an extraordinary human drama, the full scope and pathos of which has never been told before in fiction. But Rachel's life, though shadowed by disease, isolation, and tragedy, is also one of joy, courage, and dignity. This is a story about life, not death; hope, not despair. It is not about the failings of flesh, but the strength of the human spirit.",aAaDtgwDTS4C,http://books.google.com/books/content?id=aAaDtgwDTS4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1429902280,en,400, ,St. Martin's Press,"{'ratings_count': 101176, 'reviews_count': 198076, 'text_reviews_count': 9336, 'average_rating': '4.17', 'rating_dist': {'5-stars': '42091', '4-stars': '39427', '3-stars': '15480', '2-stars': '3163', '1-star': '1015'}}",historical-fiction,Moloka'i,101176,198076,9336,4.17
['Casey McQuiston'],Fiction,"* Instant NEW YORK TIMES and USA TODAY bestseller * * GOODREADS CHOICE AWARD WINNER for BEST DEBUT and BEST ROMANCE of 2019 * * BEST BOOK OF THE YEAR* for VOGUE, NPR, VANITY FAIR, and more! * What happens when America's First Son falls in love with the Prince of Wales? When his mother became President, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, genius—his image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with the actual prince, Henry, across the pond. And when the tabloids get hold of a photo involving an Alex-Henry altercation, U.S./British relations take a turn for the worse. Heads of family, state, and other handlers devise a plan for damage control: staging a truce between the two rivals. What at first begins as a fake, Instragramable friendship grows deeper, and more dangerous, than either Alex or Henry could have imagined. Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the campaign and upend two nations and begs the question: Can love save the world after all? Where do we find the courage, and the power, to be the people we are meant to be? And how can we learn to let our true colors shine through? Casey McQuiston's Red, White & Royal Blue proves: true love isn't always diplomatic. ""I took this with me wherever I went and stole every second I had to read! Absorbing, hilarious, tender, sexy—this book had everything I crave. I’m jealous of all the readers out there who still get to experience Red, White & Royal Blue for the first time!"" - Christina Lauren, New York Times bestselling author of The Unhoneymooners ""Red, White & Royal Blue is outrageously fun. It is romantic, sexy, witty, and thrilling. I loved every second."" - Taylor Jenkins Reid, New York Times bestselling author of Daisy Jones & The Six",1I1xDwAAQBAJ,http://books.google.com/books/content?id=1I1xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781250316783,en,432, ,St. Martin's Griffin,"{'ratings_count': 88074, 'reviews_count': 258103, 'text_reviews_count': 18330, 'average_rating': '4.30', 'rating_dist': {'5-stars': '46985', '4-stars': '26314', '3-stars': '10570', '2-stars': '3001', '1-star': '1204'}}",contemporary,"Red, White & Royal Blue",88074,258103,18330,4.30
['Christina Lauren'],Fiction,"Most men can’t handle Hazel. With the energy of a toddler and the mouth of a sailor, they’re often too timid to recognize her heart of gold. New York Times and #1 international bestselling author Christina Lauren (Roomies, Beautiful Bastard) tells the story of two people who are definitely not dating, no matter how often they end up in bed together. Hazel Camille Bradford knows she’s a lot to take—and frankly, most men aren’t up to the challenge. If her army of pets and thrill for the absurd don’t send them running, her lack of filter means she’ll say exactly the wrong thing in a delicate moment. Their loss. She’s a good soul in search of honest fun. Josh Im has known Hazel since college, where her zany playfulness proved completely incompatible with his mellow restraint. From the first night they met—when she gracelessly threw up on his shoes—to when she sent him an unintelligible email while in a post-surgical haze, Josh has always thought of Hazel more as a spectacle than a peer. But now, ten years later, after a cheating girlfriend has turned his life upside down, going out with Hazel is a breath of fresh air. Not that Josh and Hazel date. At least, not each other. Because setting each other up on progressively terrible double blind dates means there’s nothing between them...right?",OcRWDwAAQBAJ,http://books.google.com/books/content?id=OcRWDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781501165863,en,320, ,Simon and Schuster,"{'ratings_count': 36525, 'reviews_count': 88734, 'text_reviews_count': 6196, 'average_rating': '4.09', 'rating_dist': {'5-stars': '13123', '4-stars': '15333', '3-stars': '6534', '2-stars': '1175', '1-star': '360'}}",contemporary,Josh and Hazel's Guide to Not Dating,36525,88734,6196,4.09
['Jacqueline Woodson'],Fiction,"""Gorgeous, moving…A story of love—romantic and familial—and alienation, grief and triumph, disaster and surviva."" —Nylon ""For those still mourning the loss of Toni Morrison, it’s essential that you direct your attention to National Book Award winner Jacqueline Woodson."" –The Observer Named a Most Anticipated Book of Fall by People, Entertainment Weekly, The New York Times, Parade, Vox, Time and more An unexpected teenage pregnancy pulls together two families from different social classes, and exposes the private hopes, disappointments, and longings that can bind or divide us from each other, from the New York Times-bestselling and National Book Award-winning author of Another Brooklyn and Brown Girl Dreaming. Moving forward and backward in time, Jacqueline Woodson's taut and powerful new novel uncovers the role that history and community have played in the experiences, decisions, and relationships of these families, and in the life of the new child. As the book opens in 2001, it is the evening of sixteen-year-old Melody's coming of age ceremony in her grandparents' Brooklyn brownstone. Watched lovingly by her relatives and friends, making her entrance to the music of Prince, she wears a special custom-made dress. But the event is not without poignancy. Sixteen years earlier, that very dress was measured and sewn for a different wearer: Melody's mother, for her own ceremony-- a celebration that ultimately never took place. Unfurling the history of Melody's parents and grandparents to show how they all arrived at this moment, Woodson considers not just their ambitions and successes but also the costs, the tolls they've paid for striving to overcome expectations and escape the pull of history. As it explores sexual desire and identity, ambition, gentrification, education, class and status, and the life-altering facts of parenthood, Red at the Bone most strikingly looks at the ways in which young people must so often make long-lasting decisions about their lives--even before they have begun to figure out who they are and what they want to be.",aGWMDwAAQBAJ,http://books.google.com/books/content?id=aGWMDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780525535294,en,208, ,Penguin,"{'ratings_count': 21391, 'reviews_count': 101311, 'text_reviews_count': 3168, 'average_rating': '4.02', 'rating_dist': {'5-stars': '6993', '4-stars': '9093', '3-stars': '4254', '2-stars': '814', '1-star': '237'}}",fiction,Red at the Bone,21391,101311,3168,4.02
['J.K. Rowling'],Juvenile Fiction,"En medio de graves acontecimientos que asolan el país, Harry inicia su sexto curso en Hogwarts. El equipo de quidditch, los exámenes y las chicas lo mantienen ocupado, pero la tranquilidad dura poco. A pesar de los férreos controles de seguridad, dos alumnos son brutalmente atacados. Dumbledore sabe que, tal como se anunciaba en la Profecía, Harry y Voldemort han de enfrentarse a muerte. Así pues, para intentar debilitar al enemigo, el anciano director y el joven mago emprenderán juntos un peligroso viaje con la ayuda de un viejo libro de pociones perteneciente a un misterioso personaje, alguien que se hace llamar Príncipe Mestizo.",uZDYlfDVYmEC,http://books.google.com/books/content?id=uZDYlfDVYmEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781781101360,es,, ,Pottermore Publishing,"{'ratings_count': 2274701, 'reviews_count': 2856193, 'text_reviews_count': 36121, 'average_rating': '4.57', 'rating_dist': {'5-stars': '1528776', '4-stars': '552190', '3-stars': '158894', '2-stars': '25102', '1-star': '9739'}}",fantasy,Harry Potter y el misterio del príncipe,2274701,2856193,36121,4.57
['Alex Hirsch'],Juvenile Fiction,"O diário perdido de Gravity Falls chega às livrarias totalmente em português. Se você é fã das peripécias de Dipper e sua irmã Mabel ou somente alguém que gosta de muitas aventuras, então está com sorte! Você possui em suas mãos o cobiçado diário do autor da série Gravity Falls, um tesouro de 288 páginas coloridas e sem dono, com segredos nunca antes revelados, monstros e mistérios da pacata cidade do Tivô Stan. Com ele, você irá aprender a trágica história de Ford, o paradeiro de Blendin, qual é a Dimensão 52 e como atrair um “ornitorrinco xadrez”. Mas cuidado: este é um livro desejado por muitas forças sombrias, por isso fique alerta se qualquer um quiser tirá-lo de você (especialmente se tiverem olhos amarelos e brilhantes)! E, o mais importante, divirta-se. Afinal, não existe um lugar como Gravity Falls. Ou será que existe?",WjZlDwAAQBAJ,http://books.google.com/books/content?id=WjZlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9788550303635,pt,, ,Universo dos Livros Editora,"{'ratings_count': 3461, 'reviews_count': 8743, 'text_reviews_count': 390, 'average_rating': '4.69', 'rating_dist': {'5-stars': '2725', '4-stars': '518', '3-stars': '146', '2-stars': '29', '1-star': '43'}}",fantasy,O Diário Perdido de Gravity Falls,3461,8743,390,4.69
['Zora Neale Hurston'],Fiction,"Mules and Men is a treasury of black America's folklore as collected by a famous storyteller and anthropologist who grew up hearing the songs and sermons, sayings and tall tales that have formed an oral history of the South since the time of slavery. Returning to her hometown of Eatonville, Florida, to gather material, Zora Neale Hurston recalls ""a hilarious night with a pinch of everything social mixed with the storytelling."" Set intimately within the social context of black life, the stories, ""big old lies,"" songs, Vodou customs, and superstitions recorded in these pages capture the imagination and bring back to life the humor and wisdom that is the unique heritage of African Americans.",tz62QRx_gE0C,http://books.google.com/books/content?id=tz62QRx_gE0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0061749877,en,368, ,Harper Collins,"{'ratings_count': 5089, 'reviews_count': 13591, 'text_reviews_count': 166, 'average_rating': '4.10', 'rating_dist': {'5-stars': '1882', '4-stars': '2021', '3-stars': '1019', '2-stars': '135', '1-star': '32'}}",fiction,Mules and Men,5089,13591,166,4.10
['Vikas Swarup'],Fiction,"Arrested for unbelievably answering all twelve questions on the Indian game show ""Who Will Win a Billion?"" semi-literate waiter Ram Mohammad Thomas explains to his lawyer how he knew the answer to each question due to events in his personal life, from a past meeting with a zealous Australian army colonel to his tour guide job at the Taj Mahal. A first novel. Reprint. 25,000 first printing.",X7QNpC2slYgC,http://books.google.com/books/content?id=X7QNpC2slYgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780743267489,en,318, ,Simon and Schuster,"{'ratings_count': 29130, 'reviews_count': 48428, 'text_reviews_count': 2805, 'average_rating': '3.99', 'rating_dist': {'5-stars': '9552', '4-stars': '11927', '3-stars': '5904', '2-stars': '1347', '1-star': '400'}}",fiction,Q & A,29130,48428,2805,3.99
['Carl von Clausewitz'],Fiction,"In both a philosophical and a practical work, Clausewitz defines the essential nature of war, debates the qualities of a great commander, assesses the relative strengths of defensive and offensive war, and - in highly controversial passages - considers the relationship between war and politics.",u5pzQWhYoOEC,http://books.google.com/books/content?id=u5pzQWhYoOEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1853264822,en,373, ,Wordsworth Editions,"{'ratings_count': 10928, 'reviews_count': 33495, 'text_reviews_count': 270, 'average_rating': '3.98', 'rating_dist': {'5-stars': '3803', '4-stars': '3923', '3-stars': '2522', '2-stars': '537', '1-star': '143'}}",history,On War,10928,33495,270,3.98
['Harper Lee'],Fiction,"A historic literary event: the publication of a newly discovered novel, the earliest known work from Harper Lee, the beloved, bestselling author of the Pulitzer Prize-winning classic, To Kill a Mockingbird. Originally written in the mid-1950s, Go Set a Watchman was the novel Harper Lee first submitted to her publishers before To Kill a Mockingbird. Assumed to have been lost, the manuscript was discovered in late 2014. Go Set a Watchman features many of the characters from To Kill a Mockingbird some twenty years later. Returning home to Maycomb to visit her father, Jean Louise Finch—Scout—struggles with issues both personal and political, involving Atticus, society, and the small Alabama town that shaped her. Exploring how the characters from To Kill a Mockingbird are adjusting to the turbulent events transforming mid-1950s America, Go Set a Watchman casts a fascinating new light on Harper Lee’s enduring classic. Moving, funny and compelling, it stands as a magnificent novel in its own right.",OQR4BgAAQBAJ,http://books.google.com/books/content?id=OQR4BgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780062409874,en,199, ,HarperCollins,"{'ratings_count': 218068, 'reviews_count': 554662, 'text_reviews_count': 28763, 'average_rating': '3.31', 'rating_dist': {'5-stars': '30805', '4-stars': '63522', '3-stars': '78036', '2-stars': '34537', '1-star': '11168'}}",fiction,Go Set a Watchman,218068,554662,28763,3.31
['Meghan March'],Fiction, ,EOa_DgAAQBAJ,http://books.google.com/books/content?id=EOa_DgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9781943796090,en,, ,Red Dress Press,"{'ratings_count': 6341, 'reviews_count': 12266, 'text_reviews_count': 642, 'average_rating': '4.34', 'rating_dist': {'5-stars': '3217', '4-stars': '2219', '3-stars': '780', '2-stars': '98', '1-star': '27'}}",contemporary,Real Sexy,6341,12266,642,4.34
['Joshilyn Jackson'],Fiction,"With empathy, grace, humor, and piercing insight, the author of gods in Alabama pens a powerful, emotionally resonant novel of the South that confronts the truth about privilege, family, and the distinctions between perception and reality---the stories we tell ourselves about our origins and who we really are. Superheroes have always been Leia Birch Briggs’ weakness. One tequila-soaked night at a comics convention, the usually level-headed graphic novelist is swept off her barstool by a handsome and anonymous Batman. It turns out the caped crusader has left her with more than just a nice, fuzzy memory. She’s having a baby boy—an unexpected but not unhappy development in the thirty-eight year-old’s life. But before Leia can break the news of her impending single-motherhood (including the fact that her baby is biracial) to her conventional, Southern family, her step-sister Rachel’s marriage implodes. Worse, she learns her beloved ninety-year-old grandmother, Birchie, is losing her mind, and she’s been hiding her dementia with the help of Wattie, her best friend since girlhood. Leia returns to Alabama to put her grandmother’s affairs in order, clean out the big Victorian that has been in the Birch family for generations, and tell her family that she’s pregnant. Yet just when Leia thinks she’s got it all under control, she learns that illness is not the only thing Birchie’s been hiding. Tucked in the attic is a dangerous secret with roots that reach all the way back to the Civil War. Its exposure threatens the family’s freedom and future, and it will change everything about how Leia sees herself and her sister, her son and his missing father, and the world she thinks she knows.",pmlEDQAAQBAJ,http://books.google.com/books/content?id=pmlEDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780062105738,en,298, ,HarperCollins,"{'ratings_count': 21366, 'reviews_count': 81947, 'text_reviews_count': 2737, 'average_rating': '3.97', 'rating_dist': {'5-stars': '5980', '4-stars': '9853', '3-stars': '4594', '2-stars': '752', '1-star': '187'}}",fiction,The Almost Sisters,21366,81947,2737,3.97
['Sarah McCoy'],Fiction,"A bold, heartfelt tale of life at Green Gables . . . before Anne: A marvelously entertaining and moving historical novel, set in rural Prince Edward Island in the nineteenth century, that imagines the young life of spinster Marilla Cuthbert, and the choices that will open her life to the possibility of heartbreak—and unimaginable greatness. Plucky and ambitious, Marilla Cuthbert is thirteen years old when her world is turned upside down. Her beloved mother dies in childbirth, and Marilla suddenly must bear the responsibilities of a farm wife: cooking, sewing, keeping house, and overseeing the day-to-day life of Green Gables with her brother, Matthew and father, Hugh. In Avonlea—a small, tight-knit farming town on a remote island—life holds few options for farm girls. Her one connection to the wider world is Aunt Elizabeth ""Izzy"" Johnson, her mother’s sister, who managed to escape from Avonlea to the bustling city of St. Catharines. An opinionated spinster, Aunt Izzy’s talent as a seamstress has allowed her to build a thriving business and make her own way in the world. Emboldened by her aunt, Marilla dares to venture beyond the safety of Green Gables and discovers new friends and new opportunities. Joining the Ladies Aid Society, she raises funds for an orphanage run by the Sisters of Charity in nearby Nova Scotia that secretly serves as a way station for runaway slaves from America. Her budding romance with John Blythe, the charming son of a neighbor, offers her a possibility of future happiness—Marilla is in no rush to trade one farm life for another. She soon finds herself caught up in the dangerous work of politics, and abolition—jeopardizing all she cherishes, including her bond with her dearest John Blythe. Now Marilla must face a reckoning between her dreams of making a difference in the wider world and the small-town reality of life at Green Gables.",Qv9HDwAAQBAJ,http://books.google.com/books/content?id=Qv9HDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780062697738,en,320, ,HarperCollins,"{'ratings_count': 5956, 'reviews_count': 22586, 'text_reviews_count': 1366, 'average_rating': '4.04', 'rating_dist': {'5-stars': '1973', '4-stars': '2590', '3-stars': '1115', '2-stars': '225', '1-star': '53'}}",historical-fiction,Marilla of Green Gables,5956,22586,1366,4.04
['Olga Tokarczuk'],Fiction,"WINNER OF THE NOBEL PRIZE IN LITERATURE WINNER OF THE MAN BOOKER INTERNATIONAL PRIZE NATIONAL BOOK AWARD FINALIST FOR TRANSLATED LITERATURE A visionary work of fiction by ""A writer on the level of W. G. Sebald"" (Annie Proulx) ""A magnificent writer."" — Svetlana Alexievich, Nobel Prize-winning author of Secondhand Time ""A beautifully fragmented look at man's longing for permanence.... Ambitious and complex."" — Washington Post From the incomparably original Polish writer Olga Tokarczuk, Flights interweaves reflections on travel with an in-depth exploration of the human body, broaching life, death, motion, and migration. Chopin's heart is carried back to Warsaw in secret by his adoring sister. A woman must return to her native Poland in order to poison her terminally ill high school sweetheart, and a young man slowly descends into madness when his wife and child mysteriously vanish during a vacation and just as suddenly reappear. Through these brilliantly imagined characters and stories, interwoven with haunting, playful, and revelatory meditations, Flights explores what it means to be a traveler, a wanderer, a body in motion not only through space but through time. Where are you from? Where are you coming in from? Where are you going? we call to the traveler. Enchanting, unsettling, and wholly original, Flights is a master storyteller's answer.",T1w_DwAAQBAJ,http://books.google.com/books/content?id=T1w_DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9780525534211,en,416, ,Penguin,"{'ratings_count': 10502, 'reviews_count': 44821, 'text_reviews_count': 1476, 'average_rating': '3.82', 'rating_dist': {'5-stars': '3048', '4-stars': '3915', '3-stars': '2429', '2-stars': '848', '1-star': '262'}}",fiction,Flights,10502,44821,1476,3.82
